route,label,declared_status,page_exists,e2e_specs,finding
/sales/analytics,Sales Analytics,AVAILABLE,yes,apps/web/e2e/sales-insights.spec.ts,
/sales/order-status,Order Status,AVAILABLE,yes,apps/web/e2e/sales-insights.spec.ts,
/sales/profitability,Profitability,AVAILABLE,yes,apps/web/e2e/sales-insights.spec.ts,
/sales/reports,Reports,AVAILABLE,yes,,
/procurement,Home,AVAILABLE,yes,apps/web/e2e/procurement-planning-analytics.spec.ts;apps/web/e2e/procurement-receiving.spec.ts;apps/web/e2e/procurement-requests.spec.ts;apps/web/e2e/procurement-settings.spec.ts;apps/web/e2e/procurement-sourcing-orders.spec.ts,
/procurement/settings,Settings,AVAILABLE,yes,apps/web/e2e/procurement-settings.spec.ts,
/procurement/requisitions,Purchase Requisitions,AVAILABLE,yes,apps/web/e2e/procurement-requests.spec.ts,
/procurement/approval-queue,Approval Queue,AVAILABLE,yes,apps/web/e2e/procurement-requests.spec.ts,
/procurement/rfqs,RFQs,AVAILABLE,yes,apps/web/e2e/procurement-sourcing-orders.spec.ts,
/procurement/supplier-quotations,Supplier Quotations,AVAILABLE,yes,,
/procurement/awards,Awards,AVAILABLE,yes,,
/procurement/orders,Purchase Orders,AVAILABLE,yes,apps/web/e2e/procurement-receiving.spec.ts,
/procurement/agreements,Agreements,AVAILABLE,yes,apps/web/e2e/procurement-sourcing-orders.spec.ts,
/procurement/receipts,Goods Receipts,AVAILABLE,yes,,
/procurement/rejections,Rejections,AVAILABLE,yes,apps/web/e2e/procurement-receiving.spec.ts,
/procurement/returns,Returns,AVAILABLE,yes,,
/procurement/invoices,Supplier Invoices,AVAILABLE,yes,apps/web/e2e/procurement-receiving.spec.ts,
/procurement/three-way-match,Three-Way Match,AVAILABLE,yes,,
/procurement/landed-cost,Landed Cost,AVAILABLE,yes,apps/web/e2e/procurement-planning-analytics.spec.ts,
/procurement/suppliers,Supplier Master,AVAILABLE,yes,apps/web/e2e/procurement-requests.spec.ts,
/procurement/categories,Categories,AVAILABLE,yes,,
/procurement/supplier-prices,Price Lists,AVAILABLE,yes,apps/web/e2e/procurement-planning-analytics.spec.ts,
/procurement/lead-times,Lead Times,AVAILABLE,yes,,
